date,time,name,staff,room,instructor,description
"Thursday, April 10",5:30 PM – 7:00 PM EDT,Adv Beg JAZZ FUNK with Chio,Chio,Room:Studio 3,Chio,"5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology This is a hot jazz class peppered with street, funk, and Hip-Hop. Students should have a basic understanding of the jazz technique. The warm-up is designed to strengthen the students ability to adopt jazz and funk movement."
"Thursday, April 10",5:30 PM – 7:00 PM EDT,Int Adv HIP-HOP with David Thomas,Tay Gresham (substitute),Room:Studio 2,,"This class helps dancers learn a raw style of Hip-Hop and performance. Combining performance, theatrics, and different movements of Hip-Hop, this class gives dancers the confidence to take their skill to the next level.""Choreography is great but I feel dancers lose what the esscence of dance is, which is expression through movement. If life was a dance, how are you choreographing yours? The goal is not to live forever but to create something that will."""
"Thursday, April 10",5:30 PM – 7:00 PM EDT,All Levels ACRO with Sissa Strain,Sissa Strain,Room:Studio 5,,"Sissa’s acro class is structured with a full body warm up, center exercises, and repeating passes across a tumbling mat. Students will work on balance skills, limbering, and power tumbling preparation focusing on strength, flexibility, and dexterity. As an open level class, students will be given individualized skills appropriate for their level and are encouraged to work at their own pace. Sissa Strain is certified 10+ years to teach acrobatics and tumbling by Dance Masters of America."
"Thursday, April 10",7:00 PM – 8:30 PM EDT,All Levels BURLESQUE JAZZ with Tony Guerrero,Madeline Benoit (substitute),Room:Studio 1,,
"Thursday, April 10",7:00 PM – 8:30 PM EDT,Adv Beg TAP with Gwen Potter,Gwen Potter,Room:Studio B,Gwen Potter,"Gwen prioritizes three main elements in her tap class. First she focuses on fostering a solid understanding of tap vocabulary; using rudiments to drill basic skills for time, speed, and execution. Across the floor and basic rudiments warm up students' feet and minds for center work later in class. She then focuses on sequencing; taking steps and stringing them together to practice picking up choreography quickly. Lastly, improvisation; Gwen provides a charismatic, gentle approach to the introduction of basic music theory and guides students to apply their musical knowledge to their feet.Whether you are looking to strengthen your feet for an upcoming audition, in the city for fun, or looking to expand your knowledge and education further, all are welcome. Having a background in both musical theatre and commercial dance her style is an ever evolving melting pot as she continues to be inspired by people, places, and experiences daily."
"Thursday, April 10",7:00 PM – 8:30 PM EDT,Basic BALLET with Erica Ratkovicz,June Chin (substitute),Room:Studio A,,1-2 years trainingSome prior knowledge of dance terminology
"Thursday, April 10",7:00 PM – 8:30 PM EDT,Beg THEATER with Josh Zacher,Josh Zacher,Room:Studio 4,Josh Zacher,"Josh’s theatre dance class is open to all levels and backgrounds. The class begins with a comprehensive warm up utilizing components of ballet, conditioning, isolation, stretching, and flow followed by a combination in Josh’s theatrical style. Josh’s style draws inspiration from many of the great musical theatre choreographers while incorporating elements of commercial jazz, street styles, and contemporary. Previous students have characterized the combinations as athletic, highly musical, full out, diverse, exciting, and actor friendly. It is always a goal to help the students incorporate elements of storytelling and world building into their work on the combination in addition to mechanical and technical skills."
"Thursday, April 10",7:15 PM – 8:45 PM EDT,Adv Beg STREET JAZZ/HIP-HOP with Carlos Neto,Carlos Neto,Room:Studio 5,Carlos Neto,
"Thursday, April 10",7:15 PM – 8:45 PM EDT,Adv Beg HEELS with Hector Lopez,Hector Lopez,Room:Studio 3,Hector Lopez,"Hector works to establish an environment in which students are building a strong technical foundation and claiming ownership of the information. In doing so, they are able to apply the technique when working and learning other styles.Heels do not only physically elevate you, they instill a sense of power and authority. As an educator, Hector strives to empower his students to fearlessly be themselves rather than assume an alter ego."
"Thursday, April 10",7:15 PM – 8:45 PM EDT,Basic HIP-HOP with Angel Kaba,"Jevon ""Jerzey"" Goldson (substitute)",Room:Studio 2,,"This class will explore the social dance aspect of Hip-Hop focusing on rhythms, foundation, culture, and choreography. The class starts off with a warm-up by stretching out the body, followed by exercises and drills, focusing on groove, musicality, freestyle, and sometimes some history of Hip-Hop culture. The most important aspect of this class is DANCE, learning or relearning how to dance and take a dance class, in opposition to only executing Hip-Hop steps, and choreographies. Angel will support you to focus on yourself, your groove, your musicality, and your ability to move your body. This class is suitable for beginners and dance enthusiasts, as well as professionals and more advanced dancers who are looking to just vibe and enjoy a fun class!"
"Thursday, April 10",8:45 PM – 10:15 PM EDT,Int Adv CONTEMPORARY with Alexa Luke,Alexa Luke,Room:Studio A,,
"Thursday, April 10",8:45 PM – 10:15 PM EDT,Int Adv THEATER with Ashley Andrews,Ashley Andrews,Room:Studio 1,Ashley Andrews,"Ashley's class will begin with a structured warm up focused to aline the body with the mind. This will be followed by the combination which will be rooted in musicality and story telling while engaging in technique. Ashley wants to invite his dancers to have fun, be brave and explore the fullness of their talent in a safe space. ""It takes an athlete to dance, but an artist to be a dancer” - Martha Graham."
